No;ID Postingan BBC;Teks Postingan (Caption BBC);text;Username;Tanggal Komentar
122;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";mahasewa ( anies ganjar );kakashi39150457;Wed Feb 19 04:49:44 +0000 2025
123;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";"""ndasmu"" katanya";khoirultamamii;Wed Feb 19 04:40:10 +0000 2025
124;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";thank bbc indonesia dan mohon bantuannya untuk menghubungi kawan2 jurnalis internasional agar isu2 kemunduran demokrasi dan hukum di indonesia di tampilkan diberbagai media massa di sana;frans_natadi;Wed Feb 19 02:45:24 +0000 2025
125;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";foto ndak berguna dan memalukan;BintangNus77642;Wed Feb 19 01:59:37 +0000 2025
126;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";tolong release lebih banyak lagi min;kusepertijelly;Mon Feb 17 13:28:57 +0000 2025
127;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";sebelum jd presiden.;abu_hafidz66;Mon Feb 17 14:52:11 +0000 2025
128;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";bbc dasar anak abahh;Cillipari;Mon Feb 17 18:07:35 +0000 2025
129;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";hati2 bgt yaa nulis captionnya but thanks;mrsyimsiwan;Mon Feb 17 13:42:58 +0000 2025
130;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";media anak abah ya bbc ini, beda sama detik, kompas, mnc, metro yg anak mulyontol.;Cillipari;Mon Feb 17 18:09:35 +0000 2025
131;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";kalian hebat semangat berjuang;let_it_be_22;Tue Feb 18 06:03:22 +0000 2025
132;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";tv ga menayangkan krn pemiliknya pro pemerintah;evy_wahudy;Mon Feb 17 14:27:37 +0000 2025
133;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";biarin aja, belum move on dia. ciri khas bajer 700 peraktwt.;mrsyimsiwan;Mon Feb 17 14:35:05 +0000 2025
134;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ini dia komen yang ditunggu.;katakangparkir;Tue Feb 18 01:18:03 +0000 2025
135;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";tambahin lagi tuntutannya, !;UG_Moody;Tue Feb 18 00:42:50 +0000 2025
